NAME,index,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type,dist_to_plaque,dist_to_tau
35218,5770,9623,12659,2886,3797,13months-disease-replicate_1,CA1,CA1-Ex,,74
35219,5771,16532,12677,4959,3803,13months-disease-replicate_1,Oligo,Oligo1,,169
35220,5772,7937,12657,2381,3797,13months-disease-replicate_1,CA1,CA1-Ex,,150
35221,5773,19701,12668,5910,3800,13months-disease-replicate_1,Oligo,Oligo1,,
35222,5774,3753,12666,1125,3799,13months-disease-replicate_1,Oligo,Oligo1,151.0,196
35223,5775,8410,12674,2523,3802,13months-disease-replicate_1,CA1,CA1-Ex,122.0,67
35224,5776,17522,12677,5256,3803,13months-disease-replicate_1,Oligo,Oligo2,,
35225,5777,2522,12671,756,3801,13months-disease-replicate_1,Micro,Micro3,,212
35226,5778,10110,12674,3033,3802,13months-disease-replicate_1,CA1,CA1-Ex,,132
35227,5779,17859,12677,5357,3803,13months-disease-replicate_1,Oligo,Oligo3,197.0,115
35228,5780,4118,12680,1235,3804,13months-disease-replicate_1,Oligo,Oligo1,65.0,144
35229,5781,1338,12683,401,3804,13months-disease-replicate_1,Astro,Astro2,,
35230,5782,3018,12686,905,3805,13months-disease-replicate_1,Oligo,Oligo1,,146
35231,5783,2421,12688,726,3806,13months-disease-replicate_1,Astro,Astro3,,
35232,5784,8980,12692,2694,3807,13months-disease-replicate_1,CA1,CA1-Ex,95.0,166
35233,5785,1582,12689,474,3806,13months-disease-replicate_1,Oligo,Oligo1,,
35234,5786,11355,12688,3406,3806,13months-disease-replicate_1,CA1,CA1-Ex,,160
35235,5787,10425,12692,3127,3807,13months-disease-replicate_1,CA1,CA1-Ex,,153
35236,5788,9218,12692,2765,3807,13months-disease-replicate_1,CA1,CA1-Ex,155.0,156
35237,5789,22161,12691,6648,3807,13months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
35238,5790,10264,12704,3079,3811,13months-disease-replicate_1,CA1,CA1-Ex,,141
