NAME,index,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type,dist_to_plaque,dist_to_tau
59045,1,6170,22204,1851,6662,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59051,2,4679,22197,1403,6659,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59052,3,4064,22197,1219,6659,8months-disease-replicate_1,SMC,S2,,
59055,4,5249,22181,1574,6655,8months-disease-replicate_1,Inh,Pvalb,,
59056,5,2201,22175,660,6653,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,127.0,
59058,6,8830,22172,2649,6652,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59059,7,1272,22169,381,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,158.0,
59060,8,1556,22168,466,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,97.0,
59061,9,6784,22170,2035,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,116
59062,10,9751,22174,2925,6653,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59064,11,17116,22168,5134,6651,8months-disease-replicate_1,SMC,S4,,146
59065,12,3432,22170,1029,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59066,13,10591,22170,3177,6651,8months-disease-replicate_1,CTX-Ex,CTX-Ex3,,
59067,14,7174,22154,2152,6647,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,164
59068,15,16207,22158,4862,6648,8months-disease-replicate_1,Endo,Endo1,,
59071,16,7077,22140,2123,6642,8months-disease-replicate_1,Micro,Micro1,,140
59072,17,1143,22138,342,6642,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59073,18,3258,22132,977,6640,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59074,19,907,22146,272,6644,8months-disease-replicate_1,OPC,OPC,,
59075,20,12157,22142,3647,6643,8months-disease-replicate_1,Micro,Micro1,,
59076,21,17661,22128,5298,6639,8months-disease-replicate_1,SMC,S3,,150
59077,22,17560,22124,5268,6638,8months-disease-replicate_1,SMC,S3,,174
59078,23,6293,22118,1887,6636,8months-disease-replicate_1,CTX-Ex,CTX-Ex3,,176
59079,24,7377,22088,2213,6627,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59080,25,9085,22113,2725,6634,8months-disease-replicate_1,Micro,Micro1,,
59081,26,10085,22107,3025,6632,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59082,27,17822,22108,5346,6633,8months-disease-replicate_1,Micro,Micro1,,102
59083,28,10909,22113,3272,6634,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59084,29,1457,22112,437,6634,8months-disease-replicate_1,Oligo,Oligo1,115.0,
59085,30,9892,22102,2967,6631,8months-disease-replicate_1,Endo,Endo1,,
59086,31,1330,22103,399,6631,8months-disease-replicate_1,Oligo,Oligo1,151.0,
59087,32,10598,22106,3179,6632,8months-disease-replicate_1,Inh,Pvalb,,
59088,33,2689,22105,806,6632,8months-disease-replicate_1,Astro,Astro2,,
59090,34,17482,22104,5244,6632,8months-disease-replicate_1,SMC,S3,,154
59091,35,3389,22097,1016,6629,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59093,36,9471,22090,2841,6627,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59094,37,17743,22097,5322,6629,8months-disease-replicate_1,SMC,S3,,126
59095,38,3129,22091,938,6628,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59097,39,7724,22083,2317,6625,8months-disease-replicate_1,SMC,S4,,
59099,40,5006,22070,1501,6621,8months-disease-replicate_1,Oligo,Oligo3,,
59100,41,8520,22061,2556,6619,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59101,42,2871,22058,861,6618,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59102,43,9342,22056,2802,6617,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59103,44,15175,22058,4552,6618,8months-disease-replicate_1,Astro,Astro1,,
59104,45,5282,22061,1584,6619,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59106,46,11213,22039,3363,6612,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59107,47,17605,22040,5281,6612,8months-disease-replicate_1,Astro,Astro3,,165
59108,48,11132,22032,3339,6610,8months-disease-replicate_1,Endo,Endo1,,
59109,49,8025,22030,2407,6609,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59110,50,2668,22031,800,6610,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59111,51,2797,22028,839,6609,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59112,52,3431,22035,1029,6611,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59113,53,17707,22024,5312,6608,8months-disease-replicate_1,Astro,Astro3,,139
59114,54,3565,22035,1069,6611,8months-disease-replicate_1,Micro,Micro1,,
59115,55,12464,22017,3739,6605,8months-disease-replicate_1,Astro,Astro2,,
59116,56,5702,22004,1710,6602,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59117,57,7573,22018,2271,6606,8months-disease-replicate_1,SMC,S5,,
59118,58,6027,22014,1808,6605,8months-disease-replicate_1,Endo,Endo1,,
59119,59,10992,22014,3297,6605,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59120,60,3942,22011,1182,6604,8months-disease-replicate_1,Oligo,Oligo1,,
59122,61,4294,21985,1288,6596,8months-disease-replicate_1,Endo,Endo1,,
59123,62,2514,22033,754,6610,8months-disease-replicate_1,Micro,Micro1,,
59124,63,17789,22003,5336,6601,8months-disease-replicate_1,Astro,Astro1,,118
59125,64,6506,22011,1951,6604,8months-disease-replicate_1,Inh,Pvalb,,106
59126,65,1495,22001,448,6601,8months-disease-replicate_1,CA1,CA1-Ex,98.0,
59127,66,10508,22001,3152,6601,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59128,67,17870,21994,5361,6599,8months-disease-replicate_1,SMC,S3,,95
59129,68,3710,21987,1113,6596,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59130,69,18035,21996,5410,6599,8months-disease-replicate_1,SMC,S3,,144
59131,70,11969,21983,3590,6595,8months-disease-replicate_1,Inh,Vip,,
59133,71,9825,21980,2947,6594,8months-disease-replicate_1,Oligo,Oligo1,,
59134,72,11413,21982,3423,6595,8months-disease-replicate_1,Micro,Micro2,,
59135,73,8318,21977,2495,6593,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59136,74,5354,21975,1606,6593,8months-disease-replicate_1,Endo,Endo1,,
59138,75,10668,21979,3200,6594,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59139,76,15759,21974,4727,6593,8months-disease-replicate_1,Micro,Micro1,,
59140,77,6645,21974,1993,6593,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,69
59141,78,9534,21975,2860,6593,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59142,79,1177,21982,353,6595,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59143,80,1378,21963,413,6589,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,133.0,155
59144,81,1863,21959,558,6588,8months-disease-replicate_1,SMC,S2,13.0,171
59145,82,2304,21956,691,6587,8months-disease-replicate_1,Inh,Sst,145.0,
59146,83,11298,21961,3389,6589,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59147,84,13986,21959,4195,6588,8months-disease-replicate_1,OPC,OPC,,
59148,85,14306,21958,4291,6588,8months-disease-replicate_1,Endo,Endo1,,
59149,86,4470,21951,1341,6586,8months-disease-replicate_1,CTX-Ex,CTX-Ex3,,
59150,87,15361,21949,4608,6585,8months-disease-replicate_1,Micro,Micro2,,
59151,88,6377,21939,1913,6582,8months-disease-replicate_1,SMC,S2,,127
59152,89,9021,21938,2706,6582,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,157
59153,90,10011,21924,3003,6578,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59154,91,17988,21931,5396,6580,8months-disease-replicate_1,SMC,S3,,78
59155,92,11591,21925,3477,6578,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59156,93,457,21924,137,6578,8months-disease-replicate_1,Endo,Endo1,192.0,
59157,94,3216,21920,964,6576,8months-disease-replicate_1,OPC,OPC,,
59158,95,6864,21909,2059,6573,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,46
59159,96,9280,21920,2784,6576,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,147
59160,97,17715,21915,5314,6575,8months-disease-replicate_1,Endo,Endo1,,148
59161,98,17350,21905,5205,6572,8months-disease-replicate_1,Oligo,Oligo1,,164
59162,99,6293,21913,1887,6574,8months-disease-replicate_1,Endo,Endo2,,150
59163,100,15299,21894,4589,6569,8months-disease-replicate_1,Endo,Endo2,,
59164,101,8496,21896,2548,6569,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59165,102,9846,21876,2953,6563,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59167,103,11182,21882,3354,6565,8months-disease-replicate_1,Inh,Vip,,
59168,104,1690,21893,507,6568,8months-disease-replicate_1,Endo,Endo1,47.0,131
59169,105,1829,21888,548,6567,8months-disease-replicate_1,Endo,Endo1,28.0,148
59170,106,11043,21880,3312,6564,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59171,107,8688,21878,2606,6564,8months-disease-replicate_1,Endo,Endo1,,200
59172,108,10312,21889,3093,6567,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59173,109,18086,21894,5425,6569,8months-disease-replicate_1,Astro,Astro2,,138
59174,110,16878,21878,5063,6564,8months-disease-replicate_1,Micro,Micro1,,107
59175,111,1138,21877,341,6563,8months-disease-replicate_1,Micro,Micro1,155.0,174
59176,112,5290,21873,1587,6562,8months-disease-replicate_1,Astro,Astro1,,
59177,113,7198,21865,2159,6560,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,129
59178,114,7643,21878,2292,6564,8months-disease-replicate_1,Inh,Sst,,
59179,115,18272,21863,5481,6559,8months-disease-replicate_1,SMC,S3,,170
59180,116,11746,21856,3523,6557,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,
59181,117,13558,21858,4067,6558,8months-disease-replicate_1,Astro,Astro2,,
59182,118,2021,21851,606,6556,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,71.0,179
59183,119,3229,21848,968,6555,8months-disease-replicate_1,Oligo,Oligo1,,
59184,120,5683,21845,1704,6554,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,
59186,121,10866,21843,3259,6553,8months-disease-replicate_1,Astro,Astro1,,
59187,122,9120,21833,2736,6550,8months-disease-replicate_1,CTX-Ex,CTX-Ex2,,130
59188,123,970,21839,291,6552,8months-disease-replicate_1,Astro,Astro1,125.0,
59190,124,5536,21833,1660,6550,8months-disease-replicate_1,Astro,Astro1,,
59191,125,8934,21820,2680,6546,8months-disease-replicate_1,CTX-Ex,CTX-Ex1,,146
59192,126,11402,21831,3420,6550,8months-disease-replicate_1,Inh,Pvalb,,
59193,127,18140,21828,5442,6549,8months-disease-replicate_1,Micro,Micro1,,178
59194,128,18485,21820,5545,6546,8months-disease-replicate_1,SMC,S3,,129
59195,129,11500,21828,3450,6549,8months-disease-replicate_1,Micro,Micro1,,
59197,130,16377,21807,4913,6542,8months-disease-replicate_1,Oligo,Oligo1,,
